;Adresas;Kaina;KainaKV;plotas;KambariuSk
185;Elektrėnų m., Sodų g.;65 800 €;1 161;56.69;3
186;Kaunas, Žaliakalnis, Gražinos g.;123 000 €;1 593;77.21;4
187;Šiauliai, Zokniai, Radviliškio g.;72 000 €;1 241;58;3
188;Vilnius, Naujamiestis, Vasario 16-osios g.;440 000 €;4 000;110;4
189;Vilkaviškio r. sav., Paežerių k., Dvaro g.;29 000 €;517  ;56.07;3
190;Alytus, Vidzgiris, Jazminų g.;58 000 €;870  ;66.69;3
191;Vilnius, Šeškinė, Ukmergės g.;114 900 €;2 128;54;2
192;Neringos m., Preilos g.;300 000 €;6 512;46.07;2
193;Vilnius, Naujoji Vilnia, Pergalės g.;38 000 €;2 375;16;1
194;Vilnius, Visoriai, Visorių g.;289 000 €;2 939;98.32;3
195;Palanga, Palanga, Vaivorykštės g.;239 000 €;4 476;53.4;3
196;Palanga, Palanga, Hipodromo g.;195 000 €;4 875;40;2
197;Palanga, Palanga, Gintaro g.;165 500 €;4 769;34.7;2
198;Vilnius, Šnipiškės, Kalvarijų g.;216 000 €;2 962;72.93;3
199;Kaunas, Žaliakalnis, Varpo g.;255 000 €;3 468;73.54;3
